Data de Cadastro,ID,SubProduto,Produto Vinculado,Categoria,Fornecedor,Tamanho,UN,Fator,NCM,CST,CFOP,Status
15/06/2025 16:06:54,1,Mistura Para Brownie E Petit Gateau,Mistura Para Brownie E Petit Gateau,Confeitaria,Nestle Brasil Ltda,2kg,UN,2,,,,
15/06/2025 16:06:54,2,Mistura Para Brownie E Petit Gateau,Mistura Para Brownie E Petit Gateau,Confeitaria,Riberfoods,2kg,UN,2,,,,
15/06/2025 16:06:54,3,Mistura Para Brownie E Petit Gateau *Mixpan*,Mistura Para Brownie E Petit Gateau,Confeitaria,MixPan,2kg,Un,2,,,,
15/06/2025 16:06:54,4,Mistura Para Brownie E Petit Gateau,Mistura Para Brownie E Petit Gateau,Confeitaria,Sorpan,2kg,1,2,,,,
15/06/2025 16:06:54,5,Açafrão,Açafrão,Pizzaria,Riberfoods,1KG,UN,1,,,,
15/06/2025 16:06:54,6,Açafrão,Açafrão,Pizzaria,Sorpan,1KG,UN,1,,,,
15/06/2025 16:06:54,8,Açucar Cristal,Açucar Cristal,Panificação,Bernardão,6X5KG,UN,5,,,,
15/06/2025 16:06:54,9,Açucar Cristal,Açucar Cristal,Panificação,Cecotti,6X5KG,UN,5,,,,
15/06/2025 16:06:54,10,Açucar Cristal,Açucar Cristal,Panificação,F Martins,6X5KG,Fd,30,,,,
15/06/2025 16:06:54,11,Açucar Cristal,Açucar Cristal,Panificação,MartMinas,6X5KG,UN,5,,,,
15/06/2025 16:06:54,12,Açucar Cristal,Açucar Cristal,Panificação,MixPan,25kg,Fd,25,,,,
15/06/2025 16:06:54,14,Açucar Gelado,Açucar Gelado,Panificação,MixPan,1kg,UN,1,,,,
15/06/2025 16:06:54,15,Açucar Gelado,Açucar Gelado,Panificação,Riberfoods,1kg,UN,1,,,,
15/06/2025 16:06:54,16,Açucar Gelado,Açucar Gelado,Panificação,Sorpan,1kg,UN,1,,,,
15/06/2025 16:06:54,18,Açucar Granulado *Doçucar*,Açucar Granulado *Doçucar*,Panificação,Cecotti,10 X 1KG,UN,1,,,,
15/06/2025 16:06:54,19,Açucar Granulado *Doçucar*,Açucar Granulado *Doçucar*,Panificação,Riberfoods,10 X 1KG,FD,10,,,,
15/06/2025 16:06:54,21,Açucar Impalpável,Açucar Impalpável,Confeitaria,Coppa,"1,1Kg",Pacote,1,,,,
15/06/2025 16:06:54,22,Açucar Impalpável,Açucar Impalpável,Confeitaria,F Martins,"1,1Kg",Pacote,10,,,,
15/06/2025 16:06:54,23,Açucar Impalpável,Açucar Impalpável,Confeitaria,MixPan,1kg,Pacote,1,,,,
15/06/2025 16:06:54,24,Açucar Impalpável,Açucar Impalpável,Confeitaria,Riberfoods,"1,1Kg",Pacote,1,,,,
15/06/2025 16:06:54,25,Açucar Impalpável,Açucar Impalpável,Confeitaria,Sorpan,"1,1Kg",Pacote,1,,,,
15/06/2025 16:06:54,27,Açucar Mascavo *Canavial*,Açucar Mascavo *Canavial*,Panificação,Cecotti,1kg,UN,1,,,,
15/06/2025 16:06:54,28,Açucar Mascavo *Canavial*,Açucar Mascavo *Canavial*,Panificação,Coppa,1kg,UN,1,,,,
15/06/2025 16:06:54,29,Açucar Mascavo *Canavial*,Açucar Mascavo *Canavial*,Panificação,MixPan,,,,,,,
15/06/2025 16:06:54,30,Açucar Mascavo *Canavial*,Açucar Mascavo *Canavial*,Panificação,Riberfoods,1kg,UN,1,,,,
15/06/2025 16:06:54,32,Açucar Refinado *União*,Açucar Refinado *União*,Panificação,Cecotti,10X1kg,FD,10,,,,
15/06/2025 16:06:54,33,Açucar Refinado *União*,Açucar Refinado *União*,Panificação,Coppa,10X1kg,FD,10,,,,
15/06/2025 16:06:54,34,Açucar Refinado *União*,Açucar Refinado *União*,Panificação,F Martins,10X1kg,Fd,10,,,,
15/06/2025 16:06:54,35,Açucar Refinado *União*,Açucar Refinado *União*,Panificação,MartMinas,,UN,1,,,,
15/06/2025 16:06:54,36,Açucar Refinado *União*,Açucar Refinado *União*,Panificação,MixPan,1,FD,10,,,,
15/06/2025 16:06:54,37,Açucar Refinado *União*,Açucar Refinado *União*,Panificação,Riberfoods,10X1kg,FD,10,,,,
15/06/2025 16:06:54,39,Açucar Sache,Açucar Sache,Atendimento,Cecotti,,UN,400,,,,
15/06/2025 16:06:54,40,Açucar Sache,Açucar Sache,Atendimento,F Martins,400x5g,UN,400,,,,Ativo
15/06/2025 16:06:54,41,Açucar Sache,Açucar Sache,Atendimento,MixPan,1000,UN,"1.000,00",,,,
15/06/2025 16:06:54,42,Açucar Sache,Açucar Sache,Atendimento,Plaspel,,UN,336,,,,
15/06/2025 16:06:54,43,Açucar Sache,Açucar Sache,Atendimento,Plastripel,,UN,400,,,,
15/06/2025 16:06:54,44,Açucar Sache,Açucar Sache,Atendimento,Riberfoods,,UN,400,,,,
15/06/2025 16:06:54,45,Açucar Sache,Açucar Sache,Atendimento,União,,cx,"1.000,00",,,,
